
2014-07-03 02:02:35|FAIL|Insert Into sum_daily_archive|MSG=SQLSTATE[HY093]: Invalid parameter number: no parameters were bound
2014-07-03 18:23:57|FAIL|Insert Into sum_daily_archive|MSG=SQLSTATE[HY093]: Invalid parameter number: no parameters were bound
2014-07-03 18:29:21|FAIL|Insert Into sum_daily_archive|MSG=SQLSTATE[HY093]: Invalid parameter number: no parameters were bound
2014-07-10 15:20:53|FAIL|Insert Into sum_daily_archive|MSG=SQLSTATE[HY093]: Invalid parameter number: no parameters were bound
2014-07-15 17:05:30|2014-07-15 17:05:30|OK|Insert Into sum_daily_archive|rowCount=1
2014-07-15 17:07:39|2014-07-15 17:07:39|OK|Insert Into sum_daily_archive|rowCount=1
2014-07-15 17:07:39|2014-07-15 17:07:39|OK|Insert Into sum_daily_archive|rowCount=1
2014-07-15 17:07:40|2014-07-15 17:07:40|OK|Insert Into sum_daily_archive|rowCount=1
2014-07-15 17:07:41|2014-07-15 17:07:41|OK|Insert Into sum_daily_archive|rowCount=1
2014-07-15 17:07:41|2014-07-15 17:07:41|OK|Insert Into sum_daily_archive|rowCount=1
2014-07-15 17:07:42|2014-07-15 17:07:42|OK|Insert Into sum_daily_archive|rowCount=1
2014-07-15 17:07:42|2014-07-15 17:07:42|OK|Insert Into sum_daily_archive|rowCount=1
2014-07-15 17:40:35|2014-07-15 17:40:35|OK|Insert Into sum_daily_archive|rowCount=1
2014-07-15 17:41:11|2014-07-15 17:41:11|OK|Insert Into sum_daily_archive|rowCount=1
2014-07-15 17:41:53|2014-07-15 17:41:53|OK|Insert Into sum_daily_archive|rowCount=1
2014-07-15 17:42:26|2014-07-15 17:42:26|OK|Insert Into sum_daily_archive|rowCount=1
2014-07-15 17:43:05|2014-07-15 17:43:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-07-15 17:51:18|2014-07-15 17:51:18|OK|Insert Into sum_daily_archive|rowCount=1
2014-07-15 17:52:04|2014-07-15 17:52:04|OK|Insert Into sum_daily_archive|rowCount=1
2014-07-15 17:52:06|2014-07-15 17:52:06|OK|Insert Into sum_daily_archive|rowCount=1
2014-07-16 10:02:52|2014-07-16 10:02:52|OK|Insert Into sum_daily_archive|rowCount=1
2014-07-16 10:03:34|2014-07-16 10:03:34|OK|Insert Into sum_daily_archive|rowCount=1
2014-07-16 10:03:45|2014-07-16 10:03:45|OK|Insert Into sum_daily_archive|rowCount=1
2014-07-16 10:15:32|2014-07-16 10:15:32|OK|Insert Into sum_daily_archive|rowCount=1
2014-07-16 10:41:19|2014-07-16 10:41:19|OK|Insert Into sum_daily_archive|rowCount=1
2014-07-16 11:37:07|2014-07-16 11:37:07|OK|Insert Into sum_daily_archive|rowCount=1
2014-07-16 11:42:05|2014-07-16 11:42:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-07-16 11:43:58|2014-07-16 11:43:58|OK|Insert Into sum_daily_archive|rowCount=1
2014-07-16 11:43:59|2014-07-16 11:43:59|OK|Insert Into sum_daily_archive|rowCount=1
2014-07-16 11:44:00|2014-07-16 11:44:00|OK|Insert Into sum_daily_archive|rowCount=1
2014-07-16 11:44:00|2014-07-16 11:44:00|OK|Insert Into sum_daily_archive|rowCount=1
2014-07-16 11:44:01|2014-07-16 11:44:01|OK|Insert Into sum_daily_archive|rowCount=1
2014-07-16 11:44:02|2014-07-16 11:44:02|OK|Insert Into sum_daily_archive|rowCount=1
2014-07-16 11:44:03|2014-07-16 11:44:03|OK|Insert Into sum_daily_archive|rowCount=1
2014-07-16 11:53:44|2014-07-16 11:53:44|OK|Insert Into sum_daily_archive|rowCount=1
2014-07-16 11:53:45|2014-07-16 11:53:45|OK|Insert Into sum_daily_archive|rowCount=1
2014-07-16 11:53:46|2014-07-16 11:53:46|OK|Insert Into sum_daily_archive|rowCount=1
2014-07-16 11:53:47|2014-07-16 11:53:47|OK|Insert Into sum_daily_archive|rowCount=1
2014-07-16 11:53:48|2014-07-16 11:53:48|OK|Insert Into sum_daily_archive|rowCount=1
2014-07-16 11:53:48|2014-07-16 11:53:48|OK|Insert Into sum_daily_archive|rowCount=1
2014-07-16 11:53:49|2014-07-16 11:53:49|OK|Insert Into sum_daily_archive|rowCount=1
2014-07-17 08:46:00|2014-07-17 08:46:00|OK|Insert Into sum_daily_archive|rowCount=1
2014-07-17 08:46:01|2014-07-17 08:46:01|OK|Insert Into sum_daily_archive|rowCount=1
2014-07-17 08:46:02|2014-07-17 08:46:02|OK|Insert Into sum_daily_archive|rowCount=1
2014-07-17 08:46:02|2014-07-17 08:46:02|OK|Insert Into sum_daily_archive|rowCount=1
2014-07-17 08:46:03|2014-07-17 08:46:03|OK|Insert Into sum_daily_archive|rowCount=1
2014-07-17 08:46:04|2014-07-17 08:46:04|OK|Insert Into sum_daily_archive|rowCount=1
2014-07-17 08:46:05|2014-07-17 08:46:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-07-17 08:48:05|2014-07-17 08:48:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-07-17 08:48:06|2014-07-17 08:48:06|OK|Insert Into sum_daily_archive|rowCount=1
2014-07-17 08:48:07|2014-07-17 08:48:07|OK|Insert Into sum_daily_archive|rowCount=1
2014-07-17 08:48:07|2014-07-17 08:48:07|OK|Insert Into sum_daily_archive|rowCount=1
2014-07-17 08:48:08|2014-07-17 08:48:08|OK|Insert Into sum_daily_archive|rowCount=1
2014-07-17 08:48:09|2014-07-17 08:48:09|OK|Insert Into sum_daily_archive|rowCount=1
2014-07-17 08:48:10|2014-07-17 08:48:10|OK|Insert Into sum_daily_archive|rowCount=1
2014-07-17 08:48:10|2014-07-17 08:48:10|OK|Insert Into sum_daily_archive|rowCount=1
2014-07-18 02:40:05|2014-07-18 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-07-18 17:53:18|2014-07-18 17:53:18|OK|Insert Into sum_daily_archive|rowCount=1
2014-07-18 18:25:31|2014-07-18 18:25:31|OK|Insert Into sum_daily_archive|rowCount=1
2014-07-18 18:27:08|2014-07-18 18:27:08|OK|Insert Into sum_daily_archive|rowCount=1
2014-07-18 18:44:07|2014-07-18 18:44:07|OK|Insert Into sum_daily_archive|rowCount=1
2014-07-18 19:17:10|2014-07-18 19:17:10|OK|Insert Into sum_daily_archive|rowCount=1
2014-07-19 02:40:05|2014-07-19 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-07-20 02:40:05|2014-07-20 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-07-21 02:40:05|2014-07-21 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-07-22 02:40:05|2014-07-22 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-07-23 10:51:21|2014-07-23 10:51:21|OK|Insert Into sum_daily_archive|rowCount=1
2014-07-23 10:54:02|2014-07-23 10:54:02|OK|Insert Into sum_daily_archive|rowCount=1
2014-07-24 08:49:48|2014-07-24 08:49:48|OK|Insert Into sum_daily_archive|rowCount=1
2014-07-25 02:40:05|2014-07-25 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-07-26 02:40:05|2014-07-26 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-07-27 02:40:05|2014-07-27 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-07-28 02:40:05|2014-07-28 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-07-29 02:40:05|2014-07-29 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-07-30 02:40:05|2014-07-30 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-07-31 02:40:05|2014-07-31 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-08-01 02:40:05|2014-08-01 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-08-02 02:40:05|2014-08-02 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-08-03 02:40:05|2014-08-03 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-08-04 02:40:05|2014-08-04 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-08-05 02:40:05|2014-08-05 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-08-06 02:40:05|2014-08-06 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-08-07 02:40:05|2014-08-07 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-08-07 13:56:04|2014-08-07 13:56:04|OK|Insert Into sum_daily_archive|rowCount=1
2014-08-08 02:40:05|2014-08-08 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-08-09 02:40:05|2014-08-09 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-08-10 02:40:05|2014-08-10 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-08-11 02:40:05|2014-08-11 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-08-12 02:40:05|2014-08-12 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-08-13 02:40:05|2014-08-13 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-08-14 02:40:05|2014-08-14 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-08-15 02:40:05|2014-08-15 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-08-16 02:40:05|2014-08-16 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-08-17 02:40:05|2014-08-17 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-08-18 02:40:05|2014-08-18 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-08-19 02:40:05|2014-08-19 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-08-20 02:40:05|2014-08-20 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-08-21 02:40:05|2014-08-21 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-08-22 02:40:05|2014-08-22 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-08-23 02:40:05|2014-08-23 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-08-24 02:40:05|2014-08-24 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-08-25 02:40:05|2014-08-25 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-08-26 02:40:05|2014-08-26 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-08-27 02:40:05|2014-08-27 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-08-28 02:40:05|2014-08-28 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-08-29 02:40:05|2014-08-29 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-08-30 02:40:05|2014-08-30 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-08-31 02:40:05|2014-08-31 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
