
2014-07-03 02:02:46|FAIL|Insert Into sum_daily_archive_detail|MSG=SQLSTATE[42S02]: Base table or view not found: 1146 Table 'u591.sum_daily_archive_detail' doesn't exist
2014-07-03 18:30:14|FAIL|Insert Into sum_daily_archive_detail|MSG=SQLSTATE[42S02]: Base table or view not found: 1146 Table 'u591.sum_daily_archive_detail' doesn't exist
2014-07-10 15:20:53|FAIL|Insert Into sum_daily_archive_detail|MSG=SQLSTATE[42S02]: Base table or view not found: 1146 Table 'u591.sum_daily_archive_detail' doesn't exist
2014-07-15 17:52:05||OK|Insert Into sum_daily_archive_detail|rowCount=2805
2014-07-16 10:15:32||OK|Insert Into sum_daily_archive_detail|rowCount=2693
2014-07-16 10:41:20||OK|Insert Into sum_daily_archive_detail|rowCount=2693
2014-07-16 11:43:59||OK|Insert Into sum_daily_archive_detail|rowCount=2735
2014-07-16 11:43:59||OK|Insert Into sum_daily_archive_detail|rowCount=2758
2014-07-16 11:44:00||OK|Insert Into sum_daily_archive_detail|rowCount=2705
2014-07-16 11:44:01||OK|Insert Into sum_daily_archive_detail|rowCount=2717
2014-07-16 11:44:02||OK|Insert Into sum_daily_archive_detail|rowCount=2719
2014-07-16 11:44:03||OK|Insert Into sum_daily_archive_detail|rowCount=2737
2014-07-16 11:53:45||OK|Insert Into sum_daily_archive_detail|rowCount=2735
2014-07-16 11:53:46||OK|Insert Into sum_daily_archive_detail|rowCount=2758
2014-07-16 11:53:47||OK|Insert Into sum_daily_archive_detail|rowCount=2737
2014-07-16 11:53:47||OK|Insert Into sum_daily_archive_detail|rowCount=2734
2014-07-16 11:53:48||OK|Insert Into sum_daily_archive_detail|rowCount=2738
2014-07-16 11:53:49||OK|Insert Into sum_daily_archive_detail|rowCount=2737
2014-07-16 11:53:50||OK|Insert Into sum_daily_archive_detail|rowCount=2741
2014-07-17 08:46:01||OK|Insert Into sum_daily_archive_detail|rowCount=2762
2014-07-17 08:46:01||OK|Insert Into sum_daily_archive_detail|rowCount=2738
2014-07-17 08:46:02||OK|Insert Into sum_daily_archive_detail|rowCount=2734
2014-07-17 08:46:03||OK|Insert Into sum_daily_archive_detail|rowCount=2740
2014-07-17 08:46:04||OK|Insert Into sum_daily_archive_detail|rowCount=2741
2014-07-17 08:46:04||OK|Insert Into sum_daily_archive_detail|rowCount=2751
2014-07-17 08:46:05||OK|Insert Into sum_daily_archive_detail|rowCount=2768
2014-07-17 08:48:06||OK|Insert Into sum_daily_archive_detail|rowCount=2741
2014-07-17 08:48:06||OK|Insert Into sum_daily_archive_detail|rowCount=2762
2014-07-17 08:48:07||OK|Insert Into sum_daily_archive_detail|rowCount=2738
2014-07-17 08:48:08||OK|Insert Into sum_daily_archive_detail|rowCount=2734
2014-07-17 08:48:09||OK|Insert Into sum_daily_archive_detail|rowCount=2740
