post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"b6ed852e2fc443a48c40f78aaffddf0c";s:8:"username";s:41:"24DDFF0E-8B5E-4304-8F54-697A7C6799D2@u591";}, 2016-10-20 10:17:20
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"bc3d339aea04ae4517eef736abe8f91a";s:8:"username";s:41:"F6A3F120-776B-43EC-8C9B-111042A0D3AB@u591";}, 2016-10-20 11:13:03
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"ea01813560879f13cba501462c60788a";s:8:"username";s:17:"CAF23043695E@u591";}, 2016-10-20 11:33:19
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"c9ca2391438de6c925877afb8cf5d79e";s:8:"username";s:41:"5DD12CAE-EB0D-4F79-A10F-D9FBC439EB96@u591";}, 2016-10-20 11:46:36
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"0eccaf46f91267670f8215b0bcda136b";s:8:"username";s:17:"14488b0693a1@u591";}, 2016-10-20 12:01:40
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"0eccaf46f91267670f8215b0bcda136b";s:8:"username";s:17:"14488b0693a1@u591";}, 2016-10-20 12:02:40
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"4720220150357041bcd273d71cbad5eb";s:8:"username";s:41:"E1FCAC41-80D0-43BE-A86A-00480B1F6B25@u591";}, 2016-10-20 12:04:45
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"4720220150357041bcd273d71cbad5eb";s:8:"username";s:41:"E1FCAC41-80D0-43BE-A86A-00480B1F6B25@u591";}, 2016-10-20 12:35:14
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"4720220150357041bcd273d71cbad5eb";s:8:"username";s:41:"E1FCAC41-80D0-43BE-A86A-00480B1F6B25@u591";}, 2016-10-20 12:36:27
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"4720220150357041bcd273d71cbad5eb";s:8:"username";s:41:"E1FCAC41-80D0-43BE-A86A-00480B1F6B25@u591";}, 2016-10-20 12:37:30
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"4720220150357041bcd273d71cbad5eb";s:8:"username";s:41:"E1FCAC41-80D0-43BE-A86A-00480B1F6B25@u591";}, 2016-10-20 12:40:19
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"0eccaf46f91267670f8215b0bcda136b";s:8:"username";s:17:"14488b0693a1@u591";}, 2016-10-20 13:53:13
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"0b817a8dcf60ee0fdabebaf6d8111f5c";s:8:"username";s:17:"020000627374@u591";}, 2016-10-20 13:59:34
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"a9f7e7626493f3500d3f1f723c204e7a";s:8:"username";s:35:"ojKm5wDjZgQ5syDIPJUR8a9A_res@weixin";}, 2016-10-20 14:02:48
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"a9f7e7626493f3500d3f1f723c204e7a";s:8:"username";s:35:"ojKm5wDjZgQ5syDIPJUR8a9A_res@weixin";}, 2016-10-20 14:10:52
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"a9f7e7626493f3500d3f1f723c204e7a";s:8:"username";s:35:"ojKm5wDjZgQ5syDIPJUR8a9A_res@weixin";}, 2016-10-20 14:25:31
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"a9f7e7626493f3500d3f1f723c204e7a";s:8:"username";s:35:"ojKm5wDjZgQ5syDIPJUR8a9A_res@weixin";}, 2016-10-20 14:33:28
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"e9e636ef4fbab4575ef5bb127bb99e90";s:8:"username";s:41:"71E18361-F0C8-4504-B890-9E55D210426D@u591";}, 2016-10-20 14:36:37
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"a9f7e7626493f3500d3f1f723c204e7a";s:8:"username";s:35:"ojKm5wDjZgQ5syDIPJUR8a9A_res@weixin";}, 2016-10-20 14:38:57
