post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"6bf64fce4d6a9ea5bacc68762881ce11";s:8:"username";s:41:"045C0C5A-FA7D-4154-B55B-9F719483CFD9@u591";}, 2016-10-25 09:58:03
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"e1d9d9b15f93d460dda2b2aa1cb3a602";s:8:"username";s:35:"A49F2F73EB91C97C828E345501F12D07@qq";}, 2016-10-25 10:13:39
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"e2f2716818fc5ceb3b4382ae933a9f7d";s:8:"username";s:35:"52B8E8ED86306694358B60607EEA4276@qq";}, 2016-10-25 13:54:47
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"0eccaf46f91267670f8215b0bcda136b";s:8:"username";s:17:"14488b0693a1@u591";}, 2016-10-25 15:26:01
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"0eccaf46f91267670f8215b0bcda136b";s:8:"username";s:17:"14488b0693a1@u591";}, 2016-10-25 15:39:33
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"c9ca2391438de6c925877afb8cf5d79e";s:8:"username";s:41:"5DD12CAE-EB0D-4F79-A10F-D9FBC439EB96@u591";}, 2016-10-25 15:40:02
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"c9ca2391438de6c925877afb8cf5d79e";s:8:"username";s:41:"5DD12CAE-EB0D-4F79-A10F-D9FBC439EB96@u591";}, 2016-10-25 15:53:25
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"c9ca2391438de6c925877afb8cf5d79e";s:8:"username";s:41:"5DD12CAE-EB0D-4F79-A10F-D9FBC439EB96@u591";}, 2016-10-25 16:05:18
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"c9ca2391438de6c925877afb8cf5d79e";s:8:"username";s:41:"5DD12CAE-EB0D-4F79-A10F-D9FBC439EB96@u591";}, 2016-10-25 16:40:13
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"c9ca2391438de6c925877afb8cf5d79e";s:8:"username";s:41:"5DD12CAE-EB0D-4F79-A10F-D9FBC439EB96@u591";}, 2016-10-25 16:49:01
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"c9ca2391438de6c925877afb8cf5d79e";s:8:"username";s:41:"5DD12CAE-EB0D-4F79-A10F-D9FBC439EB96@u591";}, 2016-10-25 16:57:53
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"626f665842a12bec2fbdc0e45578ac06";s:8:"username";s:15:"1477386890@u591";}, 2016-10-25 17:16:27
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"c9ca2391438de6c925877afb8cf5d79e";s:8:"username";s:41:"5DD12CAE-EB0D-4F79-A10F-D9FBC439EB96@u591";}, 2016-10-25 17:22:13
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"c9ca2391438de6c925877afb8cf5d79e";s:8:"username";s:41:"5DD12CAE-EB0D-4F79-A10F-D9FBC439EB96@u591";}, 2016-10-25 17:59:01
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"0eccaf46f91267670f8215b0bcda136b";s:8:"username";s:17:"14488b0693a1@u591";}, 2016-10-25 18:07:36
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"c9ca2391438de6c925877afb8cf5d79e";s:8:"username";s:41:"5DD12CAE-EB0D-4F79-A10F-D9FBC439EB96@u591";}, 2016-10-25 18:22:50
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"c9ca2391438de6c925877afb8cf5d79e";s:8:"username";s:41:"5DD12CAE-EB0D-4F79-A10F-D9FBC439EB96@u591";}, 2016-10-25 18:28:13
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"86f4aa00e873599289629d1288cf00b4";s:8:"username";s:41:"738AC542-B7D8-4715-9852-FC003EF68D57@u591";}, 2016-10-25 18:29:43
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"86f4aa00e873599289629d1288cf00b4";s:8:"username";s:41:"738AC542-B7D8-4715-9852-FC003EF68D57@u591";}, 2016-10-25 18:31:02
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"4720220150357041bcd273d71cbad5eb";s:8:"username";s:41:"E1FCAC41-80D0-43BE-A86A-00480B1F6B25@u591";}, 2016-10-25 18:52:38
