post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"ed6170a737a6199a62a7de86985d6725";s:8:"username";s:15:"1477548157@u591";}, 2016-10-28 11:17:11
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"6a57f049433ac797434ae78a7106707d";s:8:"username";s:15:"1477624742@u591";}, 2016-10-28 11:17:29
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"0eccaf46f91267670f8215b0bcda136b";s:8:"username";s:17:"14488b0693a1@u591";}, 2016-10-28 14:04:46
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"c9ca2391438de6c925877afb8cf5d79e";s:8:"username";s:41:"5DD12CAE-EB0D-4F79-A10F-D9FBC439EB96@u591";}, 2016-10-28 16:10:44
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"4720220150357041bcd273d71cbad5eb";s:8:"username";s:41:"E1FCAC41-80D0-43BE-A86A-00480B1F6B25@u591";}, 2016-10-28 16:27:03
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"0eccaf46f91267670f8215b0bcda136b";s:8:"username";s:17:"14488b0693a1@u591";}, 2016-10-28 16:29:14
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"4720220150357041bcd273d71cbad5eb";s:8:"username";s:41:"E1FCAC41-80D0-43BE-A86A-00480B1F6B25@u591";}, 2016-10-28 16:59:44
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"0eccaf46f91267670f8215b0bcda136b";s:8:"username";s:17:"14488b0693a1@u591";}, 2016-10-28 17:57:43
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"e9e636ef4fbab4575ef5bb127bb99e90";s:8:"username";s:41:"71E18361-F0C8-4504-B890-9E55D210426D@u591";}, 2016-10-28 20:19:46
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"e9e636ef4fbab4575ef5bb127bb99e90";s:8:"username";s:41:"71E18361-F0C8-4504-B890-9E55D210426D@u591";}, 2016-10-28 20:21:42
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"bc3d339aea04ae4517eef736abe8f91a";s:8:"username";s:41:"F6A3F120-776B-43EC-8C9B-111042A0D3AB@u591";}, 2016-10-28 20:41:17
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"bc3d339aea04ae4517eef736abe8f91a";s:8:"username";s:41:"F6A3F120-776B-43EC-8C9B-111042A0D3AB@u591";}, 2016-10-28 20:52:54
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"bc3d339aea04ae4517eef736abe8f91a";s:8:"username";s:41:"F6A3F120-776B-43EC-8C9B-111042A0D3AB@u591";}, 2016-10-28 20:53:17
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"bc3d339aea04ae4517eef736abe8f91a";s:8:"username";s:41:"F6A3F120-776B-43EC-8C9B-111042A0D3AB@u591";}, 2016-10-28 21:13:13
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"bc3d339aea04ae4517eef736abe8f91a";s:8:"username";s:41:"F6A3F120-776B-43EC-8C9B-111042A0D3AB@u591";}, 2016-10-28 21:19:38
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"bc3d339aea04ae4517eef736abe8f91a";s:8:"username";s:41:"F6A3F120-776B-43EC-8C9B-111042A0D3AB@u591";}, 2016-10-28 21:39:33
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"e2f2716818fc5ceb3b4382ae933a9f7d";s:8:"username";s:35:"52B8E8ED86306694358B60607EEA4276@qq";}, 2016-10-28 22:58:09
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"e2f2716818fc5ceb3b4382ae933a9f7d";s:8:"username";s:35:"52B8E8ED86306694358B60607EEA4276@qq";}, 2016-10-28 23:41:00
