post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"5dcf420b9602b1a40039a32da518095d";s:8:"username";s:15:"1478741362@u591";}, 2016-11-10 09:30:44
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"e2f2716818fc5ceb3b4382ae933a9f7d";s:8:"username";s:35:"52B8E8ED86306694358B60607EEA4276@qq";}, 2016-11-10 16:29:17
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"b79c117bff13badeddeca61fa7620807";s:8:"username";s:17:"98FAE340DA0F@u591";}, 2016-11-10 17:02:20
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"e9e636ef4fbab4575ef5bb127bb99e90";s:8:"username";s:41:"71E18361-F0C8-4504-B890-9E55D210426D@u591";}, 2016-11-10 18:19:20
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"e9e636ef4fbab4575ef5bb127bb99e90";s:8:"username";s:41:"71E18361-F0C8-4504-B890-9E55D210426D@u591";}, 2016-11-10 18:21:47
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"e9e636ef4fbab4575ef5bb127bb99e90";s:8:"username";s:41:"71E18361-F0C8-4504-B890-9E55D210426D@u591";}, 2016-11-10 18:22:10
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"e9e636ef4fbab4575ef5bb127bb99e90";s:8:"username";s:41:"71E18361-F0C8-4504-B890-9E55D210426D@u591";}, 2016-11-10 18:22:24
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"e9e636ef4fbab4575ef5bb127bb99e90";s:8:"username";s:41:"71E18361-F0C8-4504-B890-9E55D210426D@u591";}, 2016-11-10 18:23:57
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"e9e636ef4fbab4575ef5bb127bb99e90";s:8:"username";s:41:"71E18361-F0C8-4504-B890-9E55D210426D@u591";}, 2016-11-10 18:25:00
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"e9e636ef4fbab4575ef5bb127bb99e90";s:8:"username";s:41:"71E18361-F0C8-4504-B890-9E55D210426D@u591";}, 2016-11-10 18:28:32
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"e9e636ef4fbab4575ef5bb127bb99e90";s:8:"username";s:41:"71E18361-F0C8-4504-B890-9E55D210426D@u591";}, 2016-11-10 18:33:33
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"e9e636ef4fbab4575ef5bb127bb99e90";s:8:"username";s:41:"71E18361-F0C8-4504-B890-9E55D210426D@u591";}, 2016-11-10 18:39:04
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"e9e636ef4fbab4575ef5bb127bb99e90";s:8:"username";s:41:"71E18361-F0C8-4504-B890-9E55D210426D@u591";}, 2016-11-10 18:41:17
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"e9e636ef4fbab4575ef5bb127bb99e90";s:8:"username";s:41:"71E18361-F0C8-4504-B890-9E55D210426D@u591";}, 2016-11-10 18:58:01
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"e9e636ef4fbab4575ef5bb127bb99e90";s:8:"username";s:41:"71E18361-F0C8-4504-B890-9E55D210426D@u591";}, 2016-11-10 18:58:26
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"e9e636ef4fbab4575ef5bb127bb99e90";s:8:"username";s:41:"71E18361-F0C8-4504-B890-9E55D210426D@u591";}, 2016-11-10 19:00:50
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"e9e636ef4fbab4575ef5bb127bb99e90";s:8:"username";s:41:"71E18361-F0C8-4504-B890-9E55D210426D@u591";}, 2016-11-10 19:06:01
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"e9e636ef4fbab4575ef5bb127bb99e90";s:8:"username";s:41:"71E18361-F0C8-4504-B890-9E55D210426D@u591";}, 2016-11-10 19:09:53
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"e9e636ef4fbab4575ef5bb127bb99e90";s:8:"username";s:41:"71E18361-F0C8-4504-B890-9E55D210426D@u591";}, 2016-11-10 19:15:10
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"e9e636ef4fbab4575ef5bb127bb99e90";s:8:"username";s:41:"71E18361-F0C8-4504-B890-9E55D210426D@u591";}, 2016-11-10 19:19:58
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"e9e636ef4fbab4575ef5bb127bb99e90";s:8:"username";s:41:"71E18361-F0C8-4504-B890-9E55D210426D@u591";}, 2016-11-10 19:33:06
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"e9e636ef4fbab4575ef5bb127bb99e90";s:8:"username";s:41:"71E18361-F0C8-4504-B890-9E55D210426D@u591";}, 2016-11-10 19:36:37
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"e9e636ef4fbab4575ef5bb127bb99e90";s:8:"username";s:41:"71E18361-F0C8-4504-B890-9E55D210426D@u591";}, 2016-11-10 19:42:41
