post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"9700ee7bb5ea83c639ccfd9b371b11f8";s:8:"username";s:15:"1480067227@u591";}, 2016-11-25 11:29:46
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"ea01813560879f13cba501462c60788a";s:8:"username";s:17:"CAF23043695E@u591";}, 2016-11-25 13:51:40
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"1a09c15ea65c0c8e1ee557d501974cfe";s:8:"username";s:15:"1480065488@u591";}, 2016-11-25 17:20:10
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"40f9248d5cae3b6c9e8a7c7596a95223";s:8:"username";s:17:"0E1DAFCE41C7@u591";}, 2016-11-25 17:20:41
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"287e63b646b5466f88fd0b352278de59";s:8:"username";s:15:"1480065789@u591";}, 2016-11-25 17:25:09
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"a43368b885ef166e7a7a985e6f90f4e7";s:8:"username";s:15:"1480066151@u591";}, 2016-11-25 17:31:11
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2d798ff5003c44b673ec36e934641d8c";s:8:"username";s:15:"1480066390@u591";}, 2016-11-25 17:35:11
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"c9ca2391438de6c925877afb8cf5d79e";s:8:"username";s:41:"5DD12CAE-EB0D-4F79-A10F-D9FBC439EB96@u591";}, 2016-11-25 17:48:05
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"e5c9707b8f1d8b7dcc97a9536da9bfbc";s:8:"username";s:15:"1480067533@u591";}, 2016-11-25 17:52:16
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"e5c9707b8f1d8b7dcc97a9536da9bfbc";s:8:"username";s:15:"1480067533@u591";}, 2016-11-25 17:56:37
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"e5c9707b8f1d8b7dcc97a9536da9bfbc";s:8:"username";s:15:"1480067533@u591";}, 2016-11-25 17:56:58
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"e5c9707b8f1d8b7dcc97a9536da9bfbc";s:8:"username";s:15:"1480067533@u591";}, 2016-11-25 17:57:16
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"e5c9707b8f1d8b7dcc97a9536da9bfbc";s:8:"username";s:15:"1480067533@u591";}, 2016-11-25 17:57:37
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"e5c9707b8f1d8b7dcc97a9536da9bfbc";s:8:"username";s:15:"1480067533@u591";}, 2016-11-25 17:58:02
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"e5c9707b8f1d8b7dcc97a9536da9bfbc";s:8:"username";s:15:"1480067533@u591";}, 2016-11-25 17:58:21
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"e5c9707b8f1d8b7dcc97a9536da9bfbc";s:8:"username";s:15:"1480067533@u591";}, 2016-11-25 17:58:42
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"e5c9707b8f1d8b7dcc97a9536da9bfbc";s:8:"username";s:15:"1480067533@u591";}, 2016-11-25 17:59:03
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"e5c9707b8f1d8b7dcc97a9536da9bfbc";s:8:"username";s:15:"1480067533@u591";}, 2016-11-25 17:59:21
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"e5c9707b8f1d8b7dcc97a9536da9bfbc";s:8:"username";s:15:"1480067533@u591";}, 2016-11-25 17:59:42
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"e5c9707b8f1d8b7dcc97a9536da9bfbc";s:8:"username";s:15:"1480067533@u591";}, 2016-11-25 18:00:07
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"e5c9707b8f1d8b7dcc97a9536da9bfbc";s:8:"username";s:15:"1480067533@u591";}, 2016-11-25 18:00:26
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"e5c9707b8f1d8b7dcc97a9536da9bfbc";s:8:"username";s:15:"1480067533@u591";}, 2016-11-25 18:00:51
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"e5c9707b8f1d8b7dcc97a9536da9bfbc";s:8:"username";s:15:"1480067533@u591";}, 2016-11-25 18:01:10
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"e5c9707b8f1d8b7dcc97a9536da9bfbc";s:8:"username";s:15:"1480067533@u591";}, 2016-11-25 18:01:35
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"e5c9707b8f1d8b7dcc97a9536da9bfbc";s:8:"username";s:15:"1480067533@u591";}, 2016-11-25 18:01:53
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"e5c9707b8f1d8b7dcc97a9536da9bfbc";s:8:"username";s:15:"1480067533@u591";}, 2016-11-25 18:02:14
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"e5c9707b8f1d8b7dcc97a9536da9bfbc";s:8:"username";s:15:"1480067533@u591";}, 2016-11-25 18:02:32
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"e5c9707b8f1d8b7dcc97a9536da9bfbc";s:8:"username";s:15:"1480067533@u591";}, 2016-11-25 18:02:53
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"e5c9707b8f1d8b7dcc97a9536da9bfbc";s:8:"username";s:15:"1480067533@u591";}, 2016-11-25 18:03:18
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"e5c9707b8f1d8b7dcc97a9536da9bfbc";s:8:"username";s:15:"1480067533@u591";}, 2016-11-25 18:03:38
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"e5c9707b8f1d8b7dcc97a9536da9bfbc";s:8:"username";s:15:"1480067533@u591";}, 2016-11-25 18:03:58
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"e5c9707b8f1d8b7dcc97a9536da9bfbc";s:8:"username";s:15:"1480067533@u591";}, 2016-11-25 18:04:19
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"e5c9707b8f1d8b7dcc97a9536da9bfbc";s:8:"username";s:15:"1480067533@u591";}, 2016-11-25 18:04:37
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"e5c9707b8f1d8b7dcc97a9536da9bfbc";s:8:"username";s:15:"1480067533@u591";}, 2016-11-25 18:04:58
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"e5c9707b8f1d8b7dcc97a9536da9bfbc";s:8:"username";s:15:"1480067533@u591";}, 2016-11-25 18:05:23
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"e5c9707b8f1d8b7dcc97a9536da9bfbc";s:8:"username";s:15:"1480067533@u591";}, 2016-11-25 18:05:42
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"e5c9707b8f1d8b7dcc97a9536da9bfbc";s:8:"username";s:15:"1480067533@u591";}, 2016-11-25 18:06:07
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"e5c9707b8f1d8b7dcc97a9536da9bfbc";s:8:"username";s:15:"1480067533@u591";}, 2016-11-25 18:06:26
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"c9ca2391438de6c925877afb8cf5d79e";s:8:"username";s:41:"5DD12CAE-EB0D-4F79-A10F-D9FBC439EB96@u591";}, 2016-11-25 18:06:34
