 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wDmOR27Nm5y7lc-9Gic-Y6A";s:4:"sign";s:32:"06c4d5a0fc70b2c18a7c87638db0ff1c";s:7:"game_id";s:1:"9";}, 2017-05-06 07:33:07
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wOYMc_CfSVEV_4fI5Qtimq4";s:4:"sign";s:32:"393d0eeafcb844e0a5e726ca12616c91";s:7:"game_id";s:1:"9";}, 2017-05-06 13:56:08
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wJWuwGuujXWDfFhTGXKEFmk";s:4:"sign";s:32:"f4dde6ce9d6ae834d98d927c9085ef6e";s:7:"game_id";s:1:"9";}, 2017-05-06 14:00:13
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wJWuwGuujXWDfFhTGXKEFmk";s:4:"sign";s:32:"f4dde6ce9d6ae834d98d927c9085ef6e";s:7:"game_id";s:1:"9";}, 2017-05-06 14:09:47
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wJWuwGuujXWDfFhTGXKEFmk";s:4:"sign";s:32:"f4dde6ce9d6ae834d98d927c9085ef6e";s:7:"game_id";s:1:"9";}, 2017-05-06 14:14:30
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wK3fSM_GvRm5Jlib8QwJq8E";s:4:"sign";s:32:"7b90fc80dae97f171ba0caf12c9fe4c8";s:7:"game_id";s:1:"9";}, 2017-05-06 14:22:36
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wF3YuDE3vvzm2LV6eEAbWAc";s:4:"sign";s:32:"71e8d7dcc1884dc8b3bb6ca1d5b913bb";s:7:"game_id";s:1:"9";}, 2017-05-06 14:32:51
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wFEfEbgha6ijD2mXdkRycOo";s:4:"sign";s:32:"3b53160dd5d38870137b810155c176a4";s:7:"game_id";s:1:"9";}, 2017-05-06 14:36:31
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wFEfEbgha6ijD2mXdkRycOo";s:4:"sign";s:32:"3b53160dd5d38870137b810155c176a4";s:7:"game_id";s:1:"9";}, 2017-05-06 14:50:36
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wFEfEbgha6ijD2mXdkRycOo";s:4:"sign";s:32:"3b53160dd5d38870137b810155c176a4";s:7:"game_id";s:1:"9";}, 2017-05-06 14:50:39
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wFEfEbgha6ijD2mXdkRycOo";s:4:"sign";s:32:"3b53160dd5d38870137b810155c176a4";s:7:"game_id";s:1:"9";}, 2017-05-06 14:51:00
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wFEfEbgha6ijD2mXdkRycOo";s:4:"sign";s:32:"3b53160dd5d38870137b810155c176a4";s:7:"game_id";s:1:"9";}, 2017-05-06 15:10:50
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wJWuwGuujXWDfFhTGXKEFmk";s:4:"sign";s:32:"f4dde6ce9d6ae834d98d927c9085ef6e";s:7:"game_id";s:1:"9";}, 2017-05-06 15:22:10
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wJWuwGuujXWDfFhTGXKEFmk";s:4:"sign";s:32:"f4dde6ce9d6ae834d98d927c9085ef6e";s:7:"game_id";s:1:"9";}, 2017-05-06 15:57:18
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wJWuwGuujXWDfFhTGXKEFmk";s:4:"sign";s:32:"f4dde6ce9d6ae834d98d927c9085ef6e";s:7:"game_id";s:1:"9";}, 2017-05-06 15:58:52
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wJWuwGuujXWDfFhTGXKEFmk";s:4:"sign";s:32:"f4dde6ce9d6ae834d98d927c9085ef6e";s:7:"game_id";s:1:"9";}, 2017-05-06 15:59:11
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wJWuwGuujXWDfFhTGXKEFmk";s:4:"sign";s:32:"f4dde6ce9d6ae834d98d927c9085ef6e";s:7:"game_id";s:1:"9";}, 2017-05-06 15:59:36
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wNYIpYVA8YjFIh6QyDeGf-o";s:4:"sign";s:32:"ad1cdf357437b902d22f88248dd023af";s:7:"game_id";s:1:"9";}, 2017-05-06 16:39:03
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wJWuwGuujXWDfFhTGXKEFmk";s:4:"sign";s:32:"f4dde6ce9d6ae834d98d927c9085ef6e";s:7:"game_id";s:1:"9";}, 2017-05-06 16:41:58
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wJWuwGuujXWDfFhTGXKEFmk";s:4:"sign";s:32:"f4dde6ce9d6ae834d98d927c9085ef6e";s:7:"game_id";s:1:"9";}, 2017-05-06 17:07:37
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wOXH86KMeKRClkqvfMskRL4";s:4:"sign";s:32:"d4de47f740294ca5c948ae2fea93f252";s:7:"game_id";s:1:"9";}, 2017-05-06 17:40:31
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wAW7-hqwoxCgfHVDsSsFuIQ";s:4:"sign";s:32:"c5cd1f34509f8fde3cd218edb625e482";s:7:"game_id";s:1:"9";}, 2017-05-06 18:49:28
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wAW7-hqwoxCgfHVDsSsFuIQ";s:4:"sign";s:32:"c5cd1f34509f8fde3cd218edb625e482";s:7:"game_id";s:1:"9";}, 2017-05-06 19:18:46
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wPf1gDy2sAWWp_iMLoenSzM";s:4:"sign";s:32:"78d2152ee4d74a545574473dabb46e66";s:7:"game_id";s:1:"9";}, 2017-05-06 20:56:21
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wIEA2o9Jbu5K-0-Z3HaVoVA";s:4:"sign";s:32:"02d7a5a242322225e4e23e735fc1fad6";s:7:"game_id";s:1:"9";}, 2017-05-06 21:17:51
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wPf1gDy2sAWWp_iMLoenSzM";s:4:"sign";s:32:"78d2152ee4d74a545574473dabb46e66";s:7:"game_id";s:1:"9";}, 2017-05-06 21:18:24
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wIEA2o9Jbu5K-0-Z3HaVoVA";s:4:"sign";s:32:"02d7a5a242322225e4e23e735fc1fad6";s:7:"game_id";s:1:"9";}, 2017-05-06 21:22:02
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wPf1gDy2sAWWp_iMLoenSzM";s:4:"sign";s:32:"78d2152ee4d74a545574473dabb46e66";s:7:"game_id";s:1:"9";}, 2017-05-06 21:26:50
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wEY0KkdfypcwtnXil7MkLXU";s:4:"sign";s:32:"cb64a25e52a3dc270d4fb6ab6a94bc96";s:7:"game_id";s:1:"9";}, 2017-05-06 21:35:22
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wAW7-hqwoxCgfHVDsSsFuIQ";s:4:"sign";s:32:"c5cd1f34509f8fde3cd218edb625e482";s:7:"game_id";s:1:"9";}, 2017-05-06 21:42:03
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wAW7-hqwoxCgfHVDsSsFuIQ";s:4:"sign";s:32:"c5cd1f34509f8fde3cd218edb625e482";s:7:"game_id";s:1:"9";}, 2017-05-06 23:13:51
