 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wAW7-hqwoxCgfHVDsSsFuIQ";s:4:"sign";s:32:"c5cd1f34509f8fde3cd218edb625e482";s:7:"game_id";s:1:"9";}, 2017-05-15 15:23:28
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wCFnmHhOPcraSq8zs-UnLW0";s:4:"sign";s:32:"5d222a1c728e9693a1bbe79d15b2a6c9";s:7:"game_id";s:1:"9";}, 2017-05-15 15:37:12
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wIr6B-rqD2JdwmZgOVtaIno";s:4:"sign";s:32:"7f6460c9f7423edfce4324ae45d359d4";s:7:"game_id";s:1:"9";}, 2017-05-15 15:41:17
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wIr6B-rqD2JdwmZgOVtaIno";s:4:"sign";s:32:"7f6460c9f7423edfce4324ae45d359d4";s:7:"game_id";s:1:"9";}, 2017-05-15 15:51:36
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wBzRC3b6cll5Mq-gMbqbuww";s:4:"sign";s:32:"6b8fac19c28fbc5d76b3d5d8d86430be";s:7:"game_id";s:1:"9";}, 2017-05-15 15:56:56
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wCFnmHhOPcraSq8zs-UnLW0";s:4:"sign";s:32:"5d222a1c728e9693a1bbe79d15b2a6c9";s:7:"game_id";s:1:"9";}, 2017-05-15 16:02:32
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wCFnmHhOPcraSq8zs-UnLW0";s:4:"sign";s:32:"5d222a1c728e9693a1bbe79d15b2a6c9";s:7:"game_id";s:1:"9";}, 2017-05-15 16:02:54
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wIenAH4D6w9ipaZH2EQIlP0";s:4:"sign";s:32:"9c04c21a5d21e9d291de8b6256eee8b1";s:7:"game_id";s:1:"9";}, 2017-05-15 16:15:56
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wGGwxz4zm9G454A0MRUa5tA";s:4:"sign";s:32:"f0186b7e7921a982c8140e8cb2ad18fc";s:7:"game_id";s:1:"9";}, 2017-05-15 17:19:15
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wL6wjmuQL5UjGXTcq8GT37w";s:4:"sign";s:32:"dd364c1bbb6756db31dd308a2bc35b0c";s:7:"game_id";s:1:"9";}, 2017-05-15 17:31:20
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wJqlfwSZNFW8eh_xG-3ApFc";s:4:"sign";s:32:"b7085f822ccb156b3ad3c47522576a1d";s:7:"game_id";s:1:"9";}, 2017-05-15 17:37:59
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wL6wjmuQL5UjGXTcq8GT37w";s:4:"sign";s:32:"dd364c1bbb6756db31dd308a2bc35b0c";s:7:"game_id";s:1:"9";}, 2017-05-15 17:59:37
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wPJAI51m4uOxuWG7onVSI5Q";s:4:"sign";s:32:"55fcc3a82931a4192c6fa272a72941e0";s:7:"game_id";s:1:"9";}, 2017-05-15 18:03:29
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wPJAI51m4uOxuWG7onVSI5Q";s:4:"sign";s:32:"55fcc3a82931a4192c6fa272a72941e0";s:7:"game_id";s:1:"9";}, 2017-05-15 18:08:12
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wIr6B-rqD2JdwmZgOVtaIno";s:4:"sign";s:32:"7f6460c9f7423edfce4324ae45d359d4";s:7:"game_id";s:1:"9";}, 2017-05-15 19:02:20
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wFvtBihx_Xk3sg0qTnV44fs";s:4:"sign";s:32:"02bcedbb38f2650fd9bac8acad462a56";s:7:"game_id";s:1:"9";}, 2017-05-15 19:23:35
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wIGqYh8E7N3DSymRIpKgbeA";s:4:"sign";s:32:"8fbe9294487819b866bf0df3f7de5004";s:7:"game_id";s:1:"9";}, 2017-05-15 19:24:32
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wFvtBihx_Xk3sg0qTnV44fs";s:4:"sign";s:32:"02bcedbb38f2650fd9bac8acad462a56";s:7:"game_id";s:1:"9";}, 2017-05-15 19:24:55
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wL6wjmuQL5UjGXTcq8GT37w";s:4:"sign";s:32:"dd364c1bbb6756db31dd308a2bc35b0c";s:7:"game_id";s:1:"9";}, 2017-05-15 19:25:10
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wL6wjmuQL5UjGXTcq8GT37w";s:4:"sign";s:32:"dd364c1bbb6756db31dd308a2bc35b0c";s:7:"game_id";s:1:"9";}, 2017-05-15 19:43:43
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wL6wjmuQL5UjGXTcq8GT37w";s:4:"sign";s:32:"dd364c1bbb6756db31dd308a2bc35b0c";s:7:"game_id";s:1:"9";}, 2017-05-15 20:03:32
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wIenAH4D6w9ipaZH2EQIlP0";s:4:"sign";s:32:"9c04c21a5d21e9d291de8b6256eee8b1";s:7:"game_id";s:1:"9";}, 2017-05-15 20:28:24
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wGGwxz4zm9G454A0MRUa5tA";s:4:"sign";s:32:"f0186b7e7921a982c8140e8cb2ad18fc";s:7:"game_id";s:1:"9";}, 2017-05-15 20:42:51
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wL6wjmuQL5UjGXTcq8GT37w";s:4:"sign";s:32:"dd364c1bbb6756db31dd308a2bc35b0c";s:7:"game_id";s:1:"9";}, 2017-05-15 20:45:51
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wL6wjmuQL5UjGXTcq8GT37w";s:4:"sign";s:32:"dd364c1bbb6756db31dd308a2bc35b0c";s:7:"game_id";s:1:"9";}, 2017-05-15 20:51:25
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wL6wjmuQL5UjGXTcq8GT37w";s:4:"sign";s:32:"dd364c1bbb6756db31dd308a2bc35b0c";s:7:"game_id";s:1:"9";}, 2017-05-15 20:53:18
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wMQF8NBq2z7n7hRRKsNbUHY";s:4:"sign";s:32:"b1f7546345bb8a7464ae49c447ea1d89";s:7:"game_id";s:1:"9";}, 2017-05-15 20:55:00
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wBxt4tN_IMlWNnXv1pEexIs";s:4:"sign";s:32:"282060b8d8a463f4d7d86ae10be2c720";s:7:"game_id";s:1:"9";}, 2017-05-15 21:02:53
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wIenAH4D6w9ipaZH2EQIlP0";s:4:"sign";s:32:"9c04c21a5d21e9d291de8b6256eee8b1";s:7:"game_id";s:1:"9";}, 2017-05-15 21:03:58
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wGGwxz4zm9G454A0MRUa5tA";s:4:"sign";s:32:"f0186b7e7921a982c8140e8cb2ad18fc";s:7:"game_id";s:1:"9";}, 2017-05-15 21:13:24
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wLHvdEWLAZlqMfXKcl5A2eM";s:4:"sign";s:32:"05e62e6deaf0f4dc608f9f6b5a407602";s:7:"game_id";s:1:"9";}, 2017-05-15 21:13:49
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wLVF53nF1-kLEJUa_idgPzk";s:4:"sign";s:32:"7d382b62eaf5a8b720fae09661d6c64e";s:7:"game_id";s:1:"9";}, 2017-05-15 21:16:24
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wFvtBihx_Xk3sg0qTnV44fs";s:4:"sign";s:32:"02bcedbb38f2650fd9bac8acad462a56";s:7:"game_id";s:1:"9";}, 2017-05-15 21:23:51
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wFvtBihx_Xk3sg0qTnV44fs";s:4:"sign";s:32:"02bcedbb38f2650fd9bac8acad462a56";s:7:"game_id";s:1:"9";}, 2017-05-15 21:35:57
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wOAnVHohtGVH_VBW0V3z4vo";s:4:"sign";s:32:"a81b0519ceb1b1d2a248ccc9087a9b8f";s:7:"game_id";s:1:"9";}, 2017-05-15 21:48:35
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wD5cutqYm8--t24XFBZ4zhY";s:4:"sign";s:32:"d2a5485a0a2f0f444298c626da135b6f";s:7:"game_id";s:1:"9";}, 2017-05-15 22:48:37
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wIenAH4D6w9ipaZH2EQIlP0";s:4:"sign";s:32:"9c04c21a5d21e9d291de8b6256eee8b1";s:7:"game_id";s:1:"9";}, 2017-05-15 22:58:31
