post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"246ccb3aedf70e3e01898ba2084d33b1";s:8:"username";s:35:"8F6C23E0DBC1451E93720C936987D325@qq";}, 2017-06-09 00:01:28
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"8bc146a300cc109b84899c0d51f6521c";s:8:"username";s:35:"142B5FDBE70CB711F4C811728F419203@qq";}, 2017-06-09 00:42:39
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2a099578862373d89e598a827ad5e4e5";s:8:"username";s:35:"ojKm5wEO9k-qKqFElFf7_b9-9Bpg@weixin";}, 2017-06-09 02:07:45
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2a099578862373d89e598a827ad5e4e5";s:8:"username";s:35:"ojKm5wEO9k-qKqFElFf7_b9-9Bpg@weixin";}, 2017-06-09 02:08:11
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2a099578862373d89e598a827ad5e4e5";s:8:"username";s:35:"ojKm5wEO9k-qKqFElFf7_b9-9Bpg@weixin";}, 2017-06-09 02:08:35
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"f779a55656a31433e33639346e36f39d";s:8:"username";s:35:"5923FDB1886862B3445A04E418404394@qq";}, 2017-06-09 05:38:12
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"f779a55656a31433e33639346e36f39d";s:8:"username";s:35:"5923FDB1886862B3445A04E418404394@qq";}, 2017-06-09 05:39:41
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"f779a55656a31433e33639346e36f39d";s:8:"username";s:35:"5923FDB1886862B3445A04E418404394@qq";}, 2017-06-09 06:04:28
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"f779a55656a31433e33639346e36f39d";s:8:"username";s:35:"5923FDB1886862B3445A04E418404394@qq";}, 2017-06-09 06:20:59
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2456d3b696cc3e12f209f52f7f8b86a5";s:8:"username";s:41:"41e568ff-958b-3dbb-803b-c4ff2e5abd7f@u591";}, 2017-06-09 07:10:04
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2456d3b696cc3e12f209f52f7f8b86a5";s:8:"username";s:41:"41e568ff-958b-3dbb-803b-c4ff2e5abd7f@u591";}, 2017-06-09 07:10:17
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2a840fe63d3809b01574a0fe9776158f";s:8:"username";s:35:"102106F3DBA126B0B8876D5553D53E9A@qq";}, 2017-06-09 08:10:59
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2a840fe63d3809b01574a0fe9776158f";s:8:"username";s:35:"102106F3DBA126B0B8876D5553D53E9A@qq";}, 2017-06-09 08:22:29
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2a840fe63d3809b01574a0fe9776158f";s:8:"username";s:35:"102106F3DBA126B0B8876D5553D53E9A@qq";}, 2017-06-09 08:24:36
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2a840fe63d3809b01574a0fe9776158f";s:8:"username";s:35:"102106F3DBA126B0B8876D5553D53E9A@qq";}, 2017-06-09 09:00:19
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2a840fe63d3809b01574a0fe9776158f";s:8:"username";s:35:"102106F3DBA126B0B8876D5553D53E9A@qq";}, 2017-06-09 09:32:42
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2a840fe63d3809b01574a0fe9776158f";s:8:"username";s:35:"102106F3DBA126B0B8876D5553D53E9A@qq";}, 2017-06-09 09:38:16
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"e9e636ef4fbab4575ef5bb127bb99e90";s:8:"username";s:41:"71E18361-F0C8-4504-B890-9E55D210426D@u591";}, 2017-06-09 10:15:37
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"e9e636ef4fbab4575ef5bb127bb99e90";s:8:"username";s:41:"71E18361-F0C8-4504-B890-9E55D210426D@u591";}, 2017-06-09 10:37:43
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"e9e636ef4fbab4575ef5bb127bb99e90";s:8:"username";s:41:"71E18361-F0C8-4504-B890-9E55D210426D@u591";}, 2017-06-09 10:37:50
