post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"cba922dab09507f460cf0782dd5cdd03";s:8:"username";s:35:"A7781115F76D676C6F3CEEA44D6A87B5@qq";}, 2017-06-17 01:06:21
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"c4e58c98457adbe7cee92a964e53e5c0";s:8:"username";s:35:"5848473DC433FCB4EC7944F98C2880E6@qq";}, 2017-06-17 10:29:31
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"8bbb4192059b53f4d6d58ab7ce5e13ce";s:8:"username";s:35:"D608E9D44735DF7F9CE841C89A7D4266@qq";}, 2017-06-17 10:44:36
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"8bbb4192059b53f4d6d58ab7ce5e13ce";s:8:"username";s:35:"D608E9D44735DF7F9CE841C89A7D4266@qq";}, 2017-06-17 10:57:21
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"690aa6364b845d814a0fef63b7e0627a";s:8:"username";s:35:"0B3C0319DD9D0CE142BBAD6AF09CD64E@qq";}, 2017-06-17 12:25:13
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"77a05220ca7d705f62f2febaae871a9a";s:8:"username";s:35:"B9299E00EEA60F1FF5740FB2BA0917EA@qq";}, 2017-06-17 14:33:27
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"77a05220ca7d705f62f2febaae871a9a";s:8:"username";s:35:"B9299E00EEA60F1FF5740FB2BA0917EA@qq";}, 2017-06-17 14:34:03
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"48c9d4217787dc15114f8aa60d03eb9a";s:8:"username";s:41:"806fdec3-6153-3f9f-bb9e-0f9c6be68490@u591";}, 2017-06-17 14:55:28
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"48c9d4217787dc15114f8aa60d03eb9a";s:8:"username";s:41:"806fdec3-6153-3f9f-bb9e-0f9c6be68490@u591";}, 2017-06-17 14:55:42
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"48c9d4217787dc15114f8aa60d03eb9a";s:8:"username";s:41:"806fdec3-6153-3f9f-bb9e-0f9c6be68490@u591";}, 2017-06-17 14:55:57
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"48c9d4217787dc15114f8aa60d03eb9a";s:8:"username";s:41:"806fdec3-6153-3f9f-bb9e-0f9c6be68490@u591";}, 2017-06-17 14:56:15
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"48c9d4217787dc15114f8aa60d03eb9a";s:8:"username";s:41:"806fdec3-6153-3f9f-bb9e-0f9c6be68490@u591";}, 2017-06-17 14:56:35
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"48c9d4217787dc15114f8aa60d03eb9a";s:8:"username";s:41:"806fdec3-6153-3f9f-bb9e-0f9c6be68490@u591";}, 2017-06-17 15:07:08
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"48c9d4217787dc15114f8aa60d03eb9a";s:8:"username";s:41:"806fdec3-6153-3f9f-bb9e-0f9c6be68490@u591";}, 2017-06-17 15:07:30
