post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"82105d768cf9ea087c8d733f6494bad8";s:8:"username";s:35:"ojKm5wEJD8pJ7CIl2PEUg4qTHLOI@weixin";}, 2017-06-18 00:00:37
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"75741a1c7a7c83d802e0cf4e2444a4b9";s:8:"username";s:35:"A4E241FC7C80B7E4B8E404280D7773A0@qq";}, 2017-06-18 00:13:00
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"48c9d4217787dc15114f8aa60d03eb9a";s:8:"username";s:41:"806fdec3-6153-3f9f-bb9e-0f9c6be68490@u591";}, 2017-06-18 09:52:15
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"48c9d4217787dc15114f8aa60d03eb9a";s:8:"username";s:41:"806fdec3-6153-3f9f-bb9e-0f9c6be68490@u591";}, 2017-06-18 09:52:30
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"48c9d4217787dc15114f8aa60d03eb9a";s:8:"username";s:41:"806fdec3-6153-3f9f-bb9e-0f9c6be68490@u591";}, 2017-06-18 09:52:46
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"54da4975567534f376aab3a24c95cd52";s:8:"username";s:35:"28BD6CE18D4292191A4747728E66887E@qq";}, 2017-06-18 10:45:15
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"54da4975567534f376aab3a24c95cd52";s:8:"username";s:35:"28BD6CE18D4292191A4747728E66887E@qq";}, 2017-06-18 10:47:20
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"54da4975567534f376aab3a24c95cd52";s:8:"username";s:35:"28BD6CE18D4292191A4747728E66887E@qq";}, 2017-06-18 10:49:32
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"48c9d4217787dc15114f8aa60d03eb9a";s:8:"username";s:41:"806fdec3-6153-3f9f-bb9e-0f9c6be68490@u591";}, 2017-06-18 11:06:20
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"e4bc2611fb5946ce757f3a81da619763";s:8:"username";s:35:"81AFC3852E7C572BC41474F2A5970F5E@qq";}, 2017-06-18 11:10:18
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"e4bc2611fb5946ce757f3a81da619763";s:8:"username";s:35:"81AFC3852E7C572BC41474F2A5970F5E@qq";}, 2017-06-18 11:10:34
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"48c9d4217787dc15114f8aa60d03eb9a";s:8:"username";s:41:"806fdec3-6153-3f9f-bb9e-0f9c6be68490@u591";}, 2017-06-18 11:10:56
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"64184678fdd82906f50e1a6f37e8a243";s:8:"username";s:41:"c34dc6d4-9451-3df5-b90e-0bf9b589aceb@u591";}, 2017-06-18 11:26:43
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"f58ec89a95fb727e5d6cc153ddcf7683";s:8:"username";s:35:"E83D285C0C225916DE4B5C79064E82D9@qq";}, 2017-06-18 16:50:56
