 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wCnEQUPt_WIJTm_FyuQWdQI";s:4:"sign";s:32:"0d202110268968620c7a236bc738370c";s:7:"game_id";s:1:"9";}, 2017-06-03 00:13:52
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wIzJ_HD6C7Dyzz9dhGBKis4";s:4:"sign";s:32:"99bade307b8ad38828333c8f068a5f88";s:7:"game_id";s:1:"9";}, 2017-06-03 03:25:33
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wIzJ_HD6C7Dyzz9dhGBKis4";s:4:"sign";s:32:"99bade307b8ad38828333c8f068a5f88";s:7:"game_id";s:1:"9";}, 2017-06-03 03:25:35
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wIzJ_HD6C7Dyzz9dhGBKis4";s:4:"sign";s:32:"99bade307b8ad38828333c8f068a5f88";s:7:"game_id";s:1:"9";}, 2017-06-03 03:25:51
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wIzJ_HD6C7Dyzz9dhGBKis4";s:4:"sign";s:32:"99bade307b8ad38828333c8f068a5f88";s:7:"game_id";s:1:"9";}, 2017-06-03 03:27:34
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wIzJ_HD6C7Dyzz9dhGBKis4";s:4:"sign";s:32:"99bade307b8ad38828333c8f068a5f88";s:7:"game_id";s:1:"9";}, 2017-06-03 03:35:42
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wMMN8aHunNQaiRQ1fnjDtqo";s:4:"sign";s:32:"d2b8a642c65c8b76e88902e7d3c6e8cc";s:7:"game_id";s:1:"9";}, 2017-06-03 06:19:43
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wMMN8aHunNQaiRQ1fnjDtqo";s:4:"sign";s:32:"d2b8a642c65c8b76e88902e7d3c6e8cc";s:7:"game_id";s:1:"9";}, 2017-06-03 06:20:26
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wMMN8aHunNQaiRQ1fnjDtqo";s:4:"sign";s:32:"d2b8a642c65c8b76e88902e7d3c6e8cc";s:7:"game_id";s:1:"9";}, 2017-06-03 06:23:53
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wMMN8aHunNQaiRQ1fnjDtqo";s:4:"sign";s:32:"d2b8a642c65c8b76e88902e7d3c6e8cc";s:7:"game_id";s:1:"9";}, 2017-06-03 06:24:53
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wNu5d9drd8nu-d6xsko3l3s";s:4:"sign";s:32:"d630e83fde5d11eafa05550438553771";s:7:"game_id";s:1:"9";}, 2017-06-03 08:07:30
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wBTid3i05o6esthY6H_SDU4";s:4:"sign";s:32:"ffc5bfb6f3d8fad1d383428e16441218";s:7:"game_id";s:1:"9";}, 2017-06-03 08:43:04
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wBTid3i05o6esthY6H_SDU4";s:4:"sign";s:32:"ffc5bfb6f3d8fad1d383428e16441218";s:7:"game_id";s:1:"9";}, 2017-06-03 08:44:06
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wBTid3i05o6esthY6H_SDU4";s:4:"sign";s:32:"ffc5bfb6f3d8fad1d383428e16441218";s:7:"game_id";s:1:"9";}, 2017-06-03 08:45:30
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wGGwxz4zm9G454A0MRUa5tA";s:4:"sign";s:32:"f0186b7e7921a982c8140e8cb2ad18fc";s:7:"game_id";s:1:"9";}, 2017-06-03 09:41:07
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wGGwxz4zm9G454A0MRUa5tA";s:4:"sign";s:32:"f0186b7e7921a982c8140e8cb2ad18fc";s:7:"game_id";s:1:"9";}, 2017-06-03 09:41:44
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wGGwxz4zm9G454A0MRUa5tA";s:4:"sign";s:32:"f0186b7e7921a982c8140e8cb2ad18fc";s:7:"game_id";s:1:"9";}, 2017-06-03 09:44:05
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wGGwxz4zm9G454A0MRUa5tA";s:4:"sign";s:32:"f0186b7e7921a982c8140e8cb2ad18fc";s:7:"game_id";s:1:"9";}, 2017-06-03 09:45:16
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wLW25SUX9hh1XJ3JBasZdzc";s:4:"sign";s:32:"a68f7ad2671a01c942bdcfaaae0f7405";s:7:"game_id";s:1:"9";}, 2017-06-03 10:01:03
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wGGwxz4zm9G454A0MRUa5tA";s:4:"sign";s:32:"f0186b7e7921a982c8140e8cb2ad18fc";s:7:"game_id";s:1:"9";}, 2017-06-03 10:10:31
